"","age_gp","sex","region","july1_2020","july1_2021"
"1","Total","total","Alabama",5024803,5039877
"2","Total","male","Alabama",2442214,2448099
"3","Total","female","Alabama",2582589,2591778
"4","0","total","Alabama",56379,55812
"5","0","male","Alabama",28814,28650
"6","0","female","Alabama",27565,27162
"7","1","total","Alabama",57976,56859
"8","1","male","Alabama",29654,29089
"9","1","female","Alabama",28322,27770
"10","2","total","Alabama",59657,58390
"11","2","male","Alabama",30510,29842
"12","2","female","Alabama",29147,28548
"13","3","total","Alabama",60206,60065
"14","3","male","Alabama",30790,30723
"15","3","female","Alabama",29416,29342
"16","4","total","Alabama",61400,60676
"17","4","male","Alabama",31273,31057
"18","4","female","Alabama",30127,29619
"19","5","total","Alabama",61641,61748
"20","5","male","Alabama",31310,31463
"21","5","female","Alabama",30331,30285
"22","6","total","Alabama",61042,62040
"23","6","male","Alabama",31051,31499
"24","6","female","Alabama",29991,30541
"25","7","total","Alabama",60374,61565
"26","7","male","Alabama",30667,31295
"27","7","female","Alabama",29707,30270
"28","8","total","Alabama",60917,60851
"29","8","male","Alabama",31060,30906
"30","8","female","Alabama",29857,29945
"31","9","total","Alabama",61632,61261
"32","9","male","Alabama",31721,31253
"33","9","female","Alabama",29911,30008
"34","10","total","Alabama",63136,61943
"35","10","male","Alabama",32315,31854
"36","10","female","Alabama",30821,30089
"37","11","total","Alabama",65206,63495
"38","11","male","Alabama",33244,32474
"39","11","female","Alabama",31962,31021
"40","12","total","Alabama",67803,65545
"41","12","male","Alabama",34501,33464
"42","12","female","Alabama",33302,32081
"43","13","total","Alabama",67250,68104
"44","13","male","Alabama",34310,34685
"45","13","female","Alabama",32940,33419
"46","14","total","Alabama",65673,67676
"47","14","male","Alabama",33532,34535
"48","14","female","Alabama",32141,33141
"49","15","total","Alabama",64794,65994
"50","15","male","Alabama",33128,33647
"51","15","female","Alabama",31666,32347
"52","16","total","Alabama",65090,64994
"53","16","male","Alabama",33246,33144
"54","16","female","Alabama",31844,31850
"55","17","total","Alabama",64574,65234
"56","17","male","Alabama",32818,33285
"57","17","female","Alabama",31756,31949
"58","18","total","Alabama",63416,63577
"59","18","male","Alabama",32077,32188
"60","18","female","Alabama",31339,31389
"61","19","total","Alabama",65441,63785
"62","19","male","Alabama",32894,32007
"63","19","female","Alabama",32547,31778
"64","20","total","Alabama",66196,65915
"65","20","male","Alabama",32880,32828
"66","20","female","Alabama",33316,33087
"67","21","total","Alabama",65621,66949
"68","21","male","Alabama",32570,33199
"69","21","female","Alabama",33051,33750
"70","22","total","Alabama",65665,66213
"71","22","male","Alabama",32822,33044
"72","22","female","Alabama",32843,33169
"73","23","total","Alabama",64881,65959
"74","23","male","Alabama",32566,33037
"75","23","female","Alabama",32315,32922
"76","24","total","Alabama",63591,64095
"77","24","male","Alabama",31975,32083
"78","24","female","Alabama",31616,32012
"79","25","total","Alabama",63712,62908
"80","25","male","Alabama",31826,31434
"81","25","female","Alabama",31886,31474
"82","26","total","Alabama",64829,63505
"83","26","male","Alabama",32437,31691
"84","26","female","Alabama",32392,31814
"85","27","total","Alabama",65690,64741
"86","27","male","Alabama",32767,32259
"87","27","female","Alabama",32923,32482
"88","28","total","Alabama",67401,65750
"89","28","male","Alabama",33328,32807
"90","28","female","Alabama",34073,32943
"91","29","total","Alabama",69289,67595
"92","29","male","Alabama",33934,33334
"93","29","female","Alabama",35355,34261
"94","30","total","Alabama",69277,69368
"95","30","male","Alabama",33883,33949
"96","30","female","Alabama",35394,35419
"97","31","total","Alabama",66237,69540
"98","31","male","Alabama",32521,34012
"99","31","female","Alabama",33716,35528
"100","32","total","Alabama",63695,66371
"101","32","male","Alabama",31161,32468
"102","32","female","Alabama",32534,33903
"103","33","total","Alabama",62582,63970
"104","33","male","Alabama",30639,31231
"105","33","female","Alabama",31943,32739
"106","34","total","Alabama",62342,62675
"107","34","male","Alabama",30372,30713
"108","34","female","Alabama",31970,31962
"109","35","total","Alabama",62600,62493
"110","35","male","Alabama",30412,30344
"111","35","female","Alabama",32188,32149
"112","36","total","Alabama",61550,62759
"113","36","male","Alabama",29851,30377
"114","36","female","Alabama",31699,32382
"115","37","total","Alabama",62573,61397
"116","37","male","Alabama",30466,29738
"117","37","female","Alabama",32107,31659
"118","38","total","Alabama",63206,62771
"119","38","male","Alabama",30847,30520
"120","38","female","Alabama",32359,32251
"121","39","total","Alabama",63072,63085
"122","39","male","Alabama",30847,30728
"123","39","female","Alabama",32225,32357
"124","40","total","Alabama",63367,63181
"125","40","male","Alabama",30899,30830
"126","40","female","Alabama",32468,32351
"127","41","total","Alabama",61294,63590
"128","41","male","Alabama",29740,31050
"129","41","female","Alabama",31554,32540
"130","42","total","Alabama",60418,61185
"131","42","male","Alabama",29239,29598
"132","42","female","Alabama",31179,31587
"133","43","total","Alabama",60280,60538
"134","43","male","Alabama",29209,29303
"135","43","female","Alabama",31071,31235
"136","44","total","Alabama",57856,60326
"137","44","male","Alabama",28114,29215
"138","44","female","Alabama",29742,31111
"139","45","total","Alabama",59206,57824
"140","45","male","Alabama",28781,28046
"141","45","female","Alabama",30425,29778
"142","46","total","Alabama",59044,59223
"143","46","male","Alabama",28750,28711
"144","46","female","Alabama",30294,30512
"145","47","total","Alabama",60943,59181
"146","47","male","Alabama",29656,28717
"147","47","female","Alabama",31287,30464
"148","48","total","Alabama",64327,60879
"149","48","male","Alabama",31447,29559
"150","48","female","Alabama",32880,31320
"151","49","total","Alabama",68247,64288
"152","49","male","Alabama",33572,31405
"153","49","female","Alabama",34675,32883
"154","50","total","Alabama",65885,68169
"155","50","male","Alabama",32382,33548
"156","50","female","Alabama",33503,34621
"157","51","total","Alabama",62901,66018
"158","51","male","Alabama",30941,32477
"159","51","female","Alabama",31960,33541
"160","52","total","Alabama",61671,63035
"161","52","male","Alabama",30349,30893
"162","52","female","Alabama",31322,32142
"163","53","total","Alabama",62148,61430
"164","53","male","Alabama",30506,30119
"165","53","female","Alabama",31642,31311
"166","54","total","Alabama",63714,62147
"167","54","male","Alabama",31163,30473
"168","54","female","Alabama",32551,31674
"169","55","total","Alabama",67055,63525
"170","55","male","Alabama",32680,30968
"171","55","female","Alabama",34375,32557
"172","56","total","Alabama",68863,66971
"173","56","male","Alabama",33588,32528
"174","56","female","Alabama",35275,34443
"175","57","total","Alabama",68926,68429
"176","57","male","Alabama",33573,33272
"177","57","female","Alabama",35353,35157
"178","58","total","Alabama",69639,68515
"179","58","male","Alabama",33768,33321
"180","58","female","Alabama",35871,35194
"181","59","total","Alabama",69561,69314
"182","59","male","Alabama",33648,33518
"183","59","female","Alabama",35913,35796
"184","60","total","Alabama",68389,69094
"185","60","male","Alabama",33004,33376
"186","60","female","Alabama",35385,35718
"187","61","total","Alabama",67271,67855
"188","61","male","Alabama",32251,32619
"189","61","female","Alabama",35020,35236
"190","62","total","Alabama",66945,66740
"191","62","male","Alabama",31992,31918
"192","62","female","Alabama",34953,34822
"193","63","total","Alabama",66501,66200
"194","63","male","Alabama",31752,31446
"195","63","female","Alabama",34749,34754
"196","64","total","Alabama",63830,65730
"197","64","male","Alabama",30312,31265
"198","64","female","Alabama",33518,34465
"199","65","total","Alabama",62092,62997
"200","65","male","Alabama",29242,29751
"201","65","female","Alabama",32850,33246
"202","66","total","Alabama",60268,61222
"203","66","male","Alabama",28240,28661
"204","66","female","Alabama",32028,32561
"205","67","total","Alabama",57650,59272
"206","67","male","Alabama",26923,27655
"207","67","female","Alabama",30727,31617
"208","68","total","Alabama",55473,56492
"209","68","male","Alabama",25813,26227
"210","68","female","Alabama",29660,30265
"211","69","total","Alabama",52928,54394
"212","69","male","Alabama",24554,25165
"213","69","female","Alabama",28374,29229
"214","70","total","Alabama",50866,51720
"215","70","male","Alabama",23429,23840
"216","70","female","Alabama",27437,27880
"217","71","total","Alabama",50029,49538
"218","71","male","Alabama",22968,22639
"219","71","female","Alabama",27061,26899
"220","72","total","Alabama",49124,48684
"221","72","male","Alabama",22597,22200
"222","72","female","Alabama",26527,26484
"223","73","total","Alabama",51703,47590
"224","73","male","Alabama",23994,21734
"225","73","female","Alabama",27709,25856
"226","74","total","Alabama",36081,50035
"227","74","male","Alabama",16309,23060
"228","74","female","Alabama",19772,26975
"229","75","total","Alabama",34744,34689
"230","75","male","Alabama",15540,15539
"231","75","female","Alabama",19204,19150
"232","76","total","Alabama",33919,33425
"233","76","male","Alabama",15084,14838
"234","76","female","Alabama",18835,18587
"235","77","total","Alabama",34281,32396
"236","77","male","Alabama",15097,14279
"237","77","female","Alabama",19184,18117
"238","78","total","Alabama",28971,32618
"239","78","male","Alabama",12664,14188
"240","78","female","Alabama",16307,18430
"241","79","total","Alabama",25654,27233
"242","79","male","Alabama",11125,11811
"243","79","female","Alabama",14529,15422
"244","80","total","Alabama",23646,24142
"245","80","male","Alabama",9990,10315
"246","80","female","Alabama",13656,13827
"247","81","total","Alabama",22026,22157
"248","81","male","Alabama",9209,9282
"249","81","female","Alabama",12817,12875
"250","82","total","Alabama",20330,20367
"251","82","male","Alabama",8362,8413
"252","82","female","Alabama",11968,11954
"253","83","total","Alabama",17602,18612
"254","83","male","Alabama",7139,7548
"255","83","female","Alabama",10463,11064
"256","84","total","Alabama",16131,16032
"257","84","male","Alabama",6404,6372
"258","84","female","Alabama",9727,9660
"259","85+","total","Alabama",85388,85202
"260","85+","male","Alabama",29196,29551
"261","85+","female","Alabama",56192,55651
"262","Total","total","Alaska",732441,732673
"263","Total","male","Alaska",383943,384204
"264","Total","female","Alaska",348498,348469
"265","0","total","Alaska",9626,9236
"266","0","male","Alaska",4920,4797
"267","0","female","Alaska",4706,4439
"268","1","total","Alaska",9575,9569
"269","1","male","Alaska",4952,4855
"270","1","female","Alaska",4623,4714
"271","2","total","Alaska",9792,9403
"272","2","male","Alaska",5080,4867
"273","2","female","Alaska",4712,4536
"274","3","total","Alaska",10095,9731
"275","3","male","Alaska",5196,4996
"276","3","female","Alaska",4899,4735
"277","4","total","Alaska",10411,10172
"278","4","male","Alaska",5347,5228
"279","4","female","Alaska",5064,4944
"280","5","total","Alaska",10347,10296
"281","5","male","Alaska",5225,5292
"282","5","female","Alaska",5122,5004
"283","6","total","Alaska",10321,10279
"284","6","male","Alaska",5224,5237
"285","6","female","Alaska",5097,5042
"286","7","total","Alaska",10279,10286
"287","7","male","Alaska",5264,5181
"288","7","female","Alaska",5015,5105
"289","8","total","Alaska",10316,10243
"290","8","male","Alaska",5282,5255
"291","8","female","Alaska",5034,4988
"292","9","total","Alaska",10341,10181
"293","9","male","Alaska",5342,5228
"294","9","female","Alaska",4999,4953
"295","10","total","Alaska",10287,10308
"296","10","male","Alaska",5285,5299
"297","10","female","Alaska",5002,5009
"298","11","total","Alaska",10303,10184
"299","11","male","Alaska",5394,5213
"300","11","female","Alaska",4909,4971
"301","12","total","Alaska",10427,10239
"302","12","male","Alaska",5471,5351
"303","12","female","Alaska",4956,4888
"304","13","total","Alaska",10172,10265
"305","13","male","Alaska",5283,5368
"306","13","female","Alaska",4889,4897
"307","14","total","Alaska",9796,10084
"308","14","male","Alaska",5041,5250
"309","14","female","Alaska",4755,4834
"310","15","total","Alaska",9757,9724
"311","15","male","Alaska",4987,5006
"312","15","female","Alaska",4770,4718
"313","16","total","Alaska",9640,9637
"314","16","male","Alaska",4931,4933
"315","16","female","Alaska",4709,4704
"316","17","total","Alaska",9534,9519
"317","17","male","Alaska",4895,4891
"318","17","female","Alaska",4639,4628
"319","18","total","Alaska",8569,8568
"320","18","male","Alaska",4552,4552
"321","18","female","Alaska",4017,4016
"322","19","total","Alaska",8257,8073
"323","19","male","Alaska",4624,4528
"324","19","female","Alaska",3633,3545
"325","20","total","Alaska",9438,9620
"326","20","male","Alaska",5479,5621
"327","20","female","Alaska",3959,3999
"328","21","total","Alaska",9798,9982
"329","21","male","Alaska",5738,5831
"330","21","female","Alaska",4060,4151
"331","22","total","Alaska",10072,10060
"332","22","male","Alaska",5771,5783
"333","22","female","Alaska",4301,4277
"334","23","total","Alaska",10267,10161
"335","23","male","Alaska",5805,5728
"336","23","female","Alaska",4462,4433
"337","24","total","Alaska",10413,10440
"338","24","male","Alaska",5892,5883
"339","24","female","Alaska",4521,4557
"340","25","total","Alaska",10750,10491
"341","25","male","Alaska",5944,5851
"342","25","female","Alaska",4806,4640
"343","26","total","Alaska",11043,10748
"344","26","male","Alaska",6011,5844
"345","26","female","Alaska",5032,4904
"346","27","total","Alaska",11378,11057
"347","27","male","Alaska",6138,6001
"348","27","female","Alaska",5240,5056
"349","28","total","Alaska",11857,11357
"350","28","male","Alaska",6309,6108
"351","28","female","Alaska",5548,5249
"352","29","total","Alaska",12021,11911
"353","29","male","Alaska",6337,6309
"354","29","female","Alaska",5684,5602
"355","30","total","Alaska",11968,11977
"356","30","male","Alaska",6234,6333
"357","30","female","Alaska",5734,5644
"358","31","total","Alaska",11551,11940
"359","31","male","Alaska",6014,6211
"360","31","female","Alaska",5537,5729
"361","32","total","Alaska",11401,11550
"362","32","male","Alaska",5895,5961
"363","32","female","Alaska",5506,5589
"364","33","total","Alaska",11269,11323
"365","33","male","Alaska",5932,5845
"366","33","female","Alaska",5337,5478
"367","34","total","Alaska",11368,11200
"368","34","male","Alaska",6000,5862
"369","34","female","Alaska",5368,5338
"370","35","total","Alaska",11336,11409
"371","35","male","Alaska",5958,6063
"372","35","female","Alaska",5378,5346
"373","36","total","Alaska",10992,11328
"374","36","male","Alaska",5802,5970
"375","36","female","Alaska",5190,5358
"376","37","total","Alaska",11073,10893
"377","37","male","Alaska",5834,5765
"378","37","female","Alaska",5239,5128
"379","38","total","Alaska",10651,10951
"380","38","male","Alaska",5606,5783
"381","38","female","Alaska",5045,5168
"382","39","total","Alaska",10204,10599
"383","39","male","Alaska",5348,5572
"384","39","female","Alaska",4856,5027
"385","40","total","Alaska",9878,10090
"386","40","male","Alaska",5190,5305
"387","40","female","Alaska",4688,4785
"388","41","total","Alaska",9247,9803
"389","41","male","Alaska",4870,5174
"390","41","female","Alaska",4377,4629
"391","42","total","Alaska",8873,9127
"392","42","male","Alaska",4656,4813
"393","42","female","Alaska",4217,4314
"394","43","total","Alaska",8708,8821
"395","43","male","Alaska",4567,4624
"396","43","female","Alaska",4141,4197
"397","44","total","Alaska",8283,8636
"398","44","male","Alaska",4385,4570
"399","44","female","Alaska",3898,4066
"400","45","total","Alaska",8259,8190
"401","45","male","Alaska",4363,4339
"402","45","female","Alaska",3896,3851
"403","46","total","Alaska",7991,8231
"404","46","male","Alaska",4243,4370
"405","46","female","Alaska",3748,3861
"406","47","total","Alaska",8055,7858
"407","47","male","Alaska",4267,4173
"408","47","female","Alaska",3788,3685
"409","48","total","Alaska",8397,7958
"410","48","male","Alaska",4460,4197
"411","48","female","Alaska",3937,3761
"412","49","total","Alaska",8969,8388
"413","49","male","Alaska",4756,4483
"414","49","female","Alaska",4213,3905
"415","50","total","Alaska",8950,8860
"416","50","male","Alaska",4700,4702
"417","50","female","Alaska",4250,4158
"418","51","total","Alaska",8558,8749
"419","51","male","Alaska",4573,4583
"420","51","female","Alaska",3985,4166
"421","52","total","Alaska",8299,8494
"422","52","male","Alaska",4398,4523
"423","52","female","Alaska",3901,3971
"424","53","total","Alaska",8381,8224
"425","53","male","Alaska",4364,4324
"426","53","female","Alaska",4017,3900
"427","54","total","Alaska",8585,8211
"428","54","male","Alaska",4497,4305
"429","54","female","Alaska",4088,3906
"430","55","total","Alaska",9037,8441
"431","55","male","Alaska",4759,4425
"432","55","female","Alaska",4278,4016
"433","56","total","Alaska",9348,8807
"434","56","male","Alaska",4910,4609
"435","56","female","Alaska",4438,4198
"436","57","total","Alaska",9548,9205
"437","57","male","Alaska",5032,4829
"438","57","female","Alaska",4516,4376
"439","58","total","Alaska",9622,9337
"440","58","male","Alaska",5055,4913
"441","58","female","Alaska",4567,4424
"442","59","total","Alaska",9656,9350
"443","59","male","Alaska",5083,4871
"444","59","female","Alaska",4573,4479
"445","60","total","Alaska",9563,9491
"446","60","male","Alaska",5056,4985
"447","60","female","Alaska",4507,4506
"448","61","total","Alaska",9197,9321
"449","61","male","Alaska",4790,4892
"450","61","female","Alaska",4407,4429
"451","62","total","Alaska",9055,8974
"452","62","male","Alaska",4714,4690
"453","62","female","Alaska",4341,4284
"454","63","total","Alaska",8900,8796
"455","63","male","Alaska",4588,4568
"456","63","female","Alaska",4312,4228
"457","64","total","Alaska",8496,8654
"458","64","male","Alaska",4304,4444
"459","64","female","Alaska",4192,4210
"460","65","total","Alaska",8427,8237
"461","65","male","Alaska",4318,4178
"462","65","female","Alaska",4109,4059
"463","66","total","Alaska",8024,8171
"464","66","male","Alaska",4148,4156
"465","66","female","Alaska",3876,4015
"466","67","total","Alaska",7526,7774
"467","67","male","Alaska",3880,4009
"468","67","female","Alaska",3646,3765
"469","68","total","Alaska",7038,7276
"470","68","male","Alaska",3618,3720
"471","68","female","Alaska",3420,3556
"472","69","total","Alaska",6524,6839
"473","69","male","Alaska",3351,3494
"474","69","female","Alaska",3173,3345
"475","70","total","Alaska",6140,6334
"476","70","male","Alaska",3183,3235
"477","70","female","Alaska",2957,3099
"478","71","total","Alaska",5712,5918
"479","71","male","Alaska",2991,3053
"480","71","female","Alaska",2721,2865
"481","72","total","Alaska",5333,5532
"482","72","male","Alaska",2788,2881
"483","72","female","Alaska",2545,2651
"484","73","total","Alaska",5382,5130
"485","73","male","Alaska",2796,2675
"486","73","female","Alaska",2586,2455
"487","74","total","Alaska",3782,5215
"488","74","male","Alaska",1907,2700
"489","74","female","Alaska",1875,2515
"490","75","total","Alaska",3601,3608
"491","75","male","Alaska",1814,1822
"492","75","female","Alaska",1787,1786
"493","76","total","Alaska",3390,3474
"494","76","male","Alaska",1720,1743
"495","76","female","Alaska",1670,1731
"496","77","total","Alaska",3232,3233
"497","77","male","Alaska",1639,1633
"498","77","female","Alaska",1593,1600
"499","78","total","Alaska",2702,3069
"500","78","male","Alaska",1340,1550
"501","78","female","Alaska",1362,1519
"502","79","total","Alaska",2404,2529
"503","79","male","Alaska",1174,1249
"504","79","female","Alaska",1230,1280
"505","80","total","Alaska",2050,2263
"506","80","male","Alaska",991,1100
"507","80","female","Alaska",1059,1163
"508","81","total","Alaska",1758,1908
"509","81","male","Alaska",851,924
"510","81","female","Alaska",907,984
"511","82","total","Alaska",1618,1667
"512","82","male","Alaska",745,788
"513","82","female","Alaska",873,879
"514","83","total","Alaska",1413,1488
"515","83","male","Alaska",654,680
"516","83","female","Alaska",759,808
"517","84","total","Alaska",1220,1260
"518","84","male","Alaska",552,581
"519","84","female","Alaska",668,679
"520","85+","total","Alaska",6615,6738
"521","85+","male","Alaska",2561,2671
"522","85+","female","Alaska",4054,4067
"523","Total","total","Arizona",7177986,7276316
"524","Total","male","Arizona",3584651,3633714
"525","Total","female","Arizona",3593335,3642602
"526","0","total","Arizona",76973,76130
"527","0","male","Arizona",39396,38841
"528","0","female","Arizona",37577,37289
"529","1","total","Arizona",79415,78207
"530","1","male","Arizona",40605,39966
"531","1","female","Arizona",38810,38241
"532","2","total","Arizona",81211,80582
"533","2","male","Arizona",41433,41166
"534","2","female","Arizona",39778,39416
"535","3","total","Arizona",83787,82193
"536","3","male","Arizona",42679,41933
"537","3","female","Arizona",41108,40260
"538","4","total","Arizona",86701,84744
"539","4","male","Arizona",44385,43134
"540","4","female","Arizona",42316,41610
"541","5","total","Arizona",88577,87691
"542","5","male","Arizona",45215,44957
"543","5","female","Arizona",43362,42734
"544","6","total","Arizona",88889,89610
"545","6","male","Arizona",45487,45790
"546","6","female","Arizona",43402,43820
"547","7","total","Arizona",88443,89732
"548","7","male","Arizona",45021,45881
"549","7","female","Arizona",43422,43851
"550","8","total","Arizona",88339,89430
"551","8","male","Arizona",45140,45525
"552","8","female","Arizona",43199,43905
"553","9","total","Arizona",89166,89025
"554","9","male","Arizona",45580,45500
"555","9","female","Arizona",43586,43525
"556","10","total","Arizona",91463,90132
"557","10","male","Arizona",46772,46018
"558","10","female","Arizona",44691,44114
"559","11","total","Arizona",94542,92137
"560","11","male","Arizona",48338,47095
"561","11","female","Arizona",46204,45042
"562","12","total","Arizona",99198,95276
"563","12","male","Arizona",50683,48658
"564","12","female","Arizona",48515,46618
"565","13","total","Arizona",99117,100003
"566","13","male","Arizona",50654,51156
"567","13","female","Arizona",48463,48847
"568","14","total","Arizona",96904,99585
"569","14","male","Arizona",49514,50914
"570","14","female","Arizona",47390,48671
"571","15","total","Arizona",95315,97615
"572","15","male","Arizona",48706,49892
"573","15","female","Arizona",46609,47723
"574","16","total","Arizona",94845,96036
"575","16","male","Arizona",48490,49115
"576","16","female","Arizona",46355,46921
"577","17","total","Arizona",92808,95860
"578","17","male","Arizona",47454,49100
"579","17","female","Arizona",45354,46760
"580","18","total","Arizona",95565,96232
"581","18","male","Arizona",48744,49113
"582","18","female","Arizona",46821,47119
"583","19","total","Arizona",98188,97309
"584","19","male","Arizona",50724,50330
"585","19","female","Arizona",47464,46979
"586","20","total","Arizona",96498,97368
"587","20","male","Arizona",49588,50119
"588","20","female","Arizona",46910,47249
"589","21","total","Arizona",95795,98614
"590","21","male","Arizona",49372,50809
"591","21","female","Arizona",46423,47805
"592","22","total","Arizona",96064,97801
"593","22","male","Arizona",49648,50337
"594","22","female","Arizona",46416,47464
"595","23","total","Arizona",97373,99540
"596","23","male","Arizona",50033,50994
"597","23","female","Arizona",47340,48546
"598","24","total","Arizona",96823,98568
"599","24","male","Arizona",49808,50758
"600","24","female","Arizona",47015,47810
"601","25","total","Arizona",97548,98472
"602","25","male","Arizona",50295,50665
"603","25","female","Arizona",47253,47807
"604","26","total","Arizona",98828,99156
"605","26","male","Arizona",51279,51325
"606","26","female","Arizona",47549,47831
"607","27","total","Arizona",99659,100405
"608","27","male","Arizona",51698,52102
"609","27","female","Arizona",47961,48303
"610","28","total","Arizona",101685,101157
"611","28","male","Arizona",52455,52469
"612","28","female","Arizona",49230,48688
"613","29","total","Arizona",102848,103480
"614","29","male","Arizona",53039,53394
"615","29","female","Arizona",49809,50086
"616","30","total","Arizona",102389,104456
"617","30","male","Arizona",52903,53984
"618","30","female","Arizona",49486,50472
"619","31","total","Arizona",97606,103542
"620","31","male","Arizona",50403,53465
"621","31","female","Arizona",47203,50077
"622","32","total","Arizona",95397,99180
"623","32","male","Arizona",49278,51211
"624","32","female","Arizona",46119,47969
"625","33","total","Arizona",93493,96438
"626","33","male","Arizona",48355,49785
"627","33","female","Arizona",45138,46653
"628","34","total","Arizona",93980,94806
"629","34","male","Arizona",48721,49183
"630","34","female","Arizona",45259,45623
"631","35","total","Arizona",93429,95089
"632","35","male","Arizona",48302,49222
"633","35","female","Arizona",45127,45867
"634","36","total","Arizona",91280,94566
"635","36","male","Arizona",47148,48870
"636","36","female","Arizona",44132,45696
"637","37","total","Arizona",92966,92107
"638","37","male","Arizona",47905,47578
