"","age_gp","sex","region","july1_2020","july1_2021"
"1","0-17","total","Alabama",1124750,1122252
"2","0-17","male","Alabama",573944,572865
"3","0-17","female","Alabama",550806,549387
"4","18-29","total","Alabama",785732,780992
"5","18-29","male","Alabama",392076,389911
"6","18-29","female","Alabama",393656,391081
"7","30-49","total","Alabama",1252116,1254644
"8","30-49","male","Alabama",610406,610514
"9","30-49","female","Alabama",641710,644130
"10","50-64","total","Alabama",993299,993172
"11","50-64","male","Alabama",481909,481741
"12","50-64","female","Alabama",511390,511431
"13","65-74","total","Alabama",526214,541944
"14","65-74","male","Alabama",244069,250932
"15","65-74","female","Alabama",282145,291012
"16","75-84","total","Alabama",257304,261671
"17","75-84","male","Alabama",110614,112585
"18","75-84","female","Alabama",146690,149086
"19","85+","total","Alabama",85388,85202
"20","85+","male","Alabama",29196,29551
"21","85+","female","Alabama",56192,55651
"22","Total","total","Alabama",5024803,5039877
"23","Total","male","Alabama",2442214,2448099
"24","Total","female","Alabama",2582589,2591778
"25","0-17","total","Alaska",181019,179356
"26","0-17","male","Alaska",93119,92247
"27","0-17","female","Alaska",87900,87109
"28","18-29","total","Alaska",123863,122468
"29","18-29","male","Alaska",68600,68039
"30","18-29","female","Alaska",55263,54429
"31","30-49","total","Alaska",198473,200272
"32","30-49","male","Alaska",104380,105413
"33","30-49","female","Alaska",94093,94859
"34","50-64","total","Alaska",135195,132914
"35","50-64","male","Alaska",70823,69663
"36","50-64","female","Alaska",64372,63251
"37","65-74","total","Alaska",63888,66426
"38","65-74","male","Alaska",32980,34101
"39","65-74","female","Alaska",30908,32325
"40","75-84","total","Alaska",23388,24499
"41","75-84","male","Alaska",11480,12070
"42","75-84","female","Alaska",11908,12429
"43","85+","total","Alaska",6615,6738
"44","85+","male","Alaska",2561,2671
"45","85+","female","Alaska",4054,4067
"46","Total","total","Alaska",732441,732673
"47","Total","male","Alaska",383943,384204
"48","Total","female","Alaska",348498,348469
"49","0-17","total","Arizona",1615693,1613988
"50","0-17","male","Arizona",825552,824641
"51","0-17","female","Arizona",790141,789347
"52","18-29","total","Arizona",1176874,1188102
"53","18-29","male","Arizona",606683,612415
"54","18-29","female","Arizona",570191,575687
"55","30-49","total","Arizona",1802490,1832134
"56","30-49","male","Arizona",920529,936083
"57","30-49","female","Arizona",881961,896051
"58","50-64","total","Arizona",1291681,1309046
"59","50-64","male","Arizona",632598,641812
"60","50-64","female","Arizona",659083,667234
"61","65-74","total","Arizona",757162,783000
"62","65-74","male","Arizona",356032,367813
"63","65-74","female","Arizona",401130,415187
"64","75-84","total","Arizona",401945,416355
"65","75-84","male","Arizona",187971,194174
"66","75-84","female","Arizona",213974,222181
"67","85+","total","Arizona",132141,133691
"68","85+","male","Arizona",55286,56776
"69","85+","female","Arizona",76855,76915
"70","Total","total","Arizona",7177986,7276316
"71","Total","male","Arizona",3584651,3633714
"72","Total","female","Arizona",3593335,3642602
"73","0-17","total","Arkansas",704793,703389
"74","0-17","male","Arkansas",361546,360696
"75","0-17","female","Arkansas",343247,342693
"76","18-29","total","Arkansas",472609,472781
"77","18-29","male","Arkansas",239057,239477
"78","18-29","female","Arkansas",233552,233304
"79","30-49","total","Arkansas",749792,754560
"80","30-49","male","Arkansas",374103,376215
"81","30-49","female","Arkansas",375689,378345
"82","50-64","total","Arkansas",566859,567060
"83","50-64","male","Arkansas",278825,278886
"84","50-64","female","Arkansas",288034,288174
"85","65-74","total","Arkansas",307171,315422
"86","65-74","male","Arkansas",144297,147855
"87","65-74","female","Arkansas",162874,167567
"88","75-84","total","Arkansas",156471,158588
"89","75-84","male","Arkansas",69363,70242
"90","75-84","female","Arkansas",87108,88346
"91","85+","total","Arkansas",54537,54091
"92","85+","male","Arkansas",19648,19807
"93","85+","female","Arkansas",34889,34284
"94","Total","total","Arkansas",3012232,3025891
"95","Total","male","Arkansas",1486839,1493178
"96","Total","female","Arkansas",1525393,1532713
"97","0-17","total","California",8936181,8772631
"98","0-17","male","California",4575147,4492470
"99","0-17","female","California",4361034,4280161
"100","18-29","total","California",6551843,6392045
"101","18-29","male","California",3359815,3274501
"102","18-29","female","California",3192028,3117544
"103","30-49","total","California",10879868,10840803
"104","30-49","male","California",5553567,5535369
"105","30-49","female","California",5326301,5305434
"106","50-64","total","California",7314221,7275265
"107","50-64","male","California",3641758,3625019
"108","50-64","female","California",3672463,3650246
"109","65-74","total","California",3461125,3558013
"110","65-74","male","California",1629186,1675680
"111","65-74","female","California",1831939,1882333
"112","75-84","total","California",1676460,1721688
"113","75-84","male","California",739783,759888
"114","75-84","female","California",936677,961800
"115","85+","total","California",680040,677391
"116","85+","male","California",253453,254263
"117","85+","female","California",426587,423128
"118","Total","total","California",39499738,39237836
"119","Total","male","California",19752709,19617190
"120","Total","female","California",19747029,19620646
"121","0-17","total","Colorado",1260965,1243456
"122","0-17","male","Colorado",645348,636595
"123","0-17","female","Colorado",615617,606861
"124","18-29","total","Colorado",971526,972085
"125","18-29","male","Colorado",506779,506733
"126","18-29","female","Colorado",464747,465352
"127","30-49","total","Colorado",1642978,1659908
"128","30-49","male","Colorado",854289,863426
"129","30-49","female","Colorado",788689,796482
"130","50-64","total","Colorado",1058870,1056967
"131","50-64","male","Colorado",529247,529352
"132","50-64","female","Colorado",529623,527615
"133","65-74","total","Colorado",538314,558844
"134","65-74","male","Colorado",259446,268976
"135","65-74","female","Colorado",278868,289868
"136","75-84","total","Colorado",230141,239521
"137","75-84","male","Colorado",104713,109110
"138","75-84","female","Colorado",125428,130411
"139","85+","total","Colorado",81514,81288
"140","85+","male","Colorado",30165,30458
"141","85+","female","Colorado",51349,50830
"142","Total","total","Colorado",5784308,5812069
"143","Total","male","Colorado",2929987,2944650
"144","Total","female","Colorado",2854321,2867419
"145","0-17","total","Connecticut",738511,729710
"146","0-17","male","Connecticut",377068,372085
"147","0-17","female","Connecticut",361443,357625
"148","18-29","total","Connecticut",563515,566509
"149","18-29","male","Connecticut",288489,289827
"150","18-29","female","Connecticut",275026,276682
"151","30-49","total","Connecticut",888192,891548
"152","30-49","male","Connecticut",441153,443183
"153","30-49","female","Connecticut",447039,448365
"154","50-64","total","Connecticut",775407,768595
