"sex","region","daily","monthly","date","time_of_day","time_info"
"M","Alberta",811542,1100000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","British Columbia",839117,1200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Manitoba",231898,330000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","New Brunswick",152655,2e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Newfoundland and Labrador",109012,140000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Northwest Territories",8772,12000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Nova Scotia",185418,250000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Nunavut",7764,11000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Ontario",2295434,3400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Prince Edward Island",29249,39000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Quebec",1766743,2400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Saskatchewan",229276,3e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Yukon",7310,10000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Alabama",942668,1300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Alaska",151967,220000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Arizona",1234798,1800000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Arkansas",587727,810000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","California",6410111,9600000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Colorado",1045737,1500000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Connecticut",641172,9e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Delaware",166472,230000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Florida",3913615,5600000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Georgia",1894695,2700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Hawaii",234740,340000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Idaho",306885,440000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Illinois",2423521,3300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Indiana",1249293,1700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Iowa",635197,840000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Kansas",574845,790000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Kentucky",950288,1300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Louisiana",844450,1200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Maine",249614,350000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","Maryland",962107,1400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
