"sex","region","daily","monthly","date","time_of_day","time_info"
"M","Alberta",33673,36000,2020-03-07,NA,NA
"M","British Columbia",28677,33000,2020-03-07,NA,NA
"M","Manitoba",6852,8100,2020-03-07,NA,NA
"M","New Brunswick",3987,4500,2020-03-07,NA,NA
"M","Newfoundland and Labrador",4363,4700,2020-03-07,NA,NA
"M","Northwest Territories",998,1000,2020-03-07,NA,NA
"M","Nova Scotia",6058,6500,2020-03-07,NA,NA
"M","Nunavut",748,1000,2020-03-07,NA,NA
"M","Ontario",52399,61000,2020-03-07,NA,NA
"M","Prince Edward Island",1014,1100,2020-03-07,NA,NA
"M","Quebec",36851,39000,2020-03-07,NA,NA
"M","Saskatchewan",9005,9700,2020-03-07,NA,NA
"M","Yukon",996,1000,2020-03-07,NA,NA
"F","Alberta",28070,31000,2020-03-07,NA,NA
"F","British Columbia",29568,33000,2020-03-07,NA,NA
"F","Manitoba",7158,7900,2020-03-07,NA,NA
"F","New Brunswick",4286,4900,2020-03-07,NA,NA
"F","Newfoundland and Labrador",5283,5500,2020-03-07,NA,NA
"F","Northwest Territories",998,1000,2020-03-07,NA,NA
"F","Nova Scotia",7014,7600,2020-03-07,NA,NA
"F","Nunavut",997,1000,2020-03-07,NA,NA
"F","Ontario",56943,64000,2020-03-07,NA,NA
"F","Prince Edward Island",1136,1300,2020-03-07,NA,NA
"F","Quebec",32038,35000,2020-03-07,NA,NA
"F","Saskatchewan",9120,9900,2020-03-07,NA,NA
"F","Yukon",996,1000,2020-03-07,NA,NA
"M","Alabama",34929,39000,2020-03-07,NA,NA
"M","Alaska",5953,7100,2020-03-07,NA,NA
"M","Arizona",52588,59000,2020-03-07,NA,NA
"M","Arkansas",21214,25000,2020-03-07,NA,NA
"M","California",160593,190000,2020-03-07,NA,NA
"M","Colorado",39764,45000,2020-03-07,NA,NA
"M","Connecticut",13316,15000,2020-03-07,NA,NA
"M","Delaware",7039,7900,2020-03-07,NA,NA
"M","Florida",176426,2e+05,2020-03-07,NA,NA
"M","Georgia",86216,1e+05,2020-03-07,NA,NA
"M","Hawaii",10575,12000,2020-03-07,NA,NA
"M","Idaho",12905,15000,2020-03-07,NA,NA
"M","Illinois",64270,71000,2020-03-07,NA,NA
"M","Indiana",37670,42000,2020-03-07,NA,NA
"M","Iowa",20619,23000,2020-03-07,NA,NA
"M","Kansas",23290,26000,2020-03-07,NA,NA
"M","Kentucky",26833,30000,2020-03-07,NA,NA
"M","Louisiana",34200,40000,2020-03-07,NA,NA
"M","Maine",6196,7300,2020-03-07,NA,NA
"M","Maryland",35596,40000,2020-03-07,NA,NA
"M","Massachusetts",29698,33000,2020-03-07,NA,NA
"M","Michigan",47249,53000,2020-03-07,NA,NA
"M","Minnesota",31725,34000,2020-03-07,NA,NA
"M","Mississippi",22665,26000,2020-03-07,NA,NA
"M","Missouri",40699,46000,2020-03-07,NA,NA
"M","Montana",8593,9200,2020-03-07,NA,NA
"M","Nebraska",13436,15000,2020-03-07,NA,NA
"M","Nevada",32887,37000,2020-03-07,NA,NA
"M","New Hampshire",6469,7500,2020-03-07,NA,NA
"M","New Jersey",36526,42000,2020-03-07,NA,NA
"M","New Mexico",20649,23000,2020-03-07,NA,NA
"M","New York",73938,86000,2020-03-07,NA,NA
"M","North Carolina",73926,83000,2020-03-07,NA,NA
"M","North Dakota",10498,11000,2020-03-07,NA,NA
"M","Ohio",53993,61000,2020-03-07,NA,NA
"M","Oklahoma",25573,29000,2020-03-07,NA,NA
"M","Oregon",22665,26000,2020-03-07,NA,NA
"M","Pennsylvania",57223,64000,2020-03-07,NA,NA
"M","Rhode Island",5064,5500,2020-03-07,NA,NA
"M","South Carolina",42958,47000,2020-03-07,NA,NA
"M","South Dakota",7060,8100,2020-03-07,NA,NA
"M","Tennessee",50815,57000,2020-03-07,NA,NA
"M","Texas",223920,250000,2020-03-07,NA,NA
"M","Utah",21965,25000,2020-03-07,NA,NA
"M","Vermont",3440,4500,2020-03-07,NA,NA
"M","Virginia",61721,71000,2020-03-07,NA,NA
"M","West Virginia",11537,13000,2020-03-07,NA,NA
"M","Washington",42791,50000,2020-03-07,NA,NA
"M","Washington D. C.",15951,17000,2020-03-07,NA,NA
"M","Wisconsin",28885,31000,2020-03-07,NA,NA
"M","Wyoming",6910,7900,2020-03-07,NA,NA
"M","Canada",179094,2e+05,2020-03-07,NA,NA
"M","United States",1679486,1900000,2020-03-07,NA,NA
"F","Alabama",38472,43000,2020-03-07,NA,NA
"F","Alaska",6510,6700,2020-03-07,NA,NA
"F","Arizona",64252,74000,2020-03-07,NA,NA
"F","Arkansas",24298,27000,2020-03-07,NA,NA
"F","California",187375,210000,2020-03-07,NA,NA
"F","Colorado",43863,49000,2020-03-07,NA,NA
"F","Connecticut",17136,19000,2020-03-07,NA,NA
"F","Delaware",9100,9900,2020-03-07,NA,NA
"F","Florida",223414,250000,2020-03-07,NA,NA
"F","Georgia",107022,120000,2020-03-07,NA,NA
"F","Hawaii",12314,14000,2020-03-07,NA,NA
"F","Idaho",14811,17000,2020-03-07,NA,NA
"F","Illinois",72294,79000,2020-03-07,NA,NA
"F","Indiana",43080,46000,2020-03-07,NA,NA
"F","Iowa",22685,24000,2020-03-07,NA,NA
"F","Kansas",24217,26000,2020-03-07,NA,NA
"F","Kentucky",30838,33000,2020-03-07,NA,NA
"F","Louisiana",35373,37000,2020-03-07,NA,NA
"F","Maine",8048,9100,2020-03-07,NA,NA
