"","region","age_gp","sex","date","covid_deaths","pneumonia_deaths","influenza_deaths","pneumonia_covid_deaths","pneumonia_influenza_covid_deaths","total_deaths"
"1","Alabama","0-17","total",2020-07-01,0,0,0,0,0,53
"2","Alabama","0-17","total",2020-08-01,0,0,0,0,0,63
"3","Alabama","0-17","total",2020-09-01,0,0,0,0,0,51
"4","Alabama","0-17","total",2020-10-01,0,0,0,0,0,64
"5","Alabama","0-17","total",2020-11-01,0,0,0,0,0,46
"6","Alabama","0-17","total",2020-12-01,0,0,0,0,0,49
"7","Alabama","0-17","total",2021-01-01,0,0,0,0,0,59
"8","Alabama","0-17","total",2021-02-01,0,0,0,0,0,52
"9","Alabama","0-17","total",2021-03-01,0,0,0,0,0,75
"10","Alabama","0-17","total",2021-04-01,0,0,0,0,0,64
"11","Alabama","0-17","total",2021-05-01,0,0,0,0,0,64
"12","Alabama","0-17","total",2021-06-01,0,0,0,0,0,82
"13","Alabama","0-17","total",2021-07-01,0,0,0,0,0,78
"14","Alabama","0-17","female",2020-07-01,0,0,0,0,0,29
"15","Alabama","0-17","female",2020-08-01,0,0,0,0,0,24
"16","Alabama","0-17","female",2020-09-01,0,0,0,0,0,22
"17","Alabama","0-17","female",2020-10-01,0,0,0,0,0,18
"18","Alabama","0-17","female",2020-11-01,0,0,0,0,0,19
"19","Alabama","0-17","female",2020-12-01,0,0,0,0,0,16
"20","Alabama","0-17","female",2021-01-01,0,0,0,0,0,25
"21","Alabama","0-17","female",2021-02-01,0,0,0,0,0,24
"22","Alabama","0-17","female",2021-03-01,0,0,0,0,0,31
"23","Alabama","0-17","female",2021-04-01,0,0,0,0,0,23
"24","Alabama","0-17","female",2021-05-01,0,0,0,0,0,18
"25","Alabama","0-17","female",2021-06-01,0,0,0,0,0,32
"26","Alabama","0-17","female",2021-07-01,0,0,0,0,0,31
"27","Alabama","0-17","male",2020-07-01,0,0,0,0,0,24
"28","Alabama","0-17","male",2020-08-01,0,0,0,0,0,39
"29","Alabama","0-17","male",2020-09-01,0,0,0,0,0,29
"30","Alabama","0-17","male",2020-10-01,0,0,0,0,0,46
"31","Alabama","0-17","male",2020-11-01,0,0,0,0,0,27
"32","Alabama","0-17","male",2020-12-01,0,0,0,0,0,33
"33","Alabama","0-17","male",2021-01-01,0,0,0,0,0,34
"34","Alabama","0-17","male",2021-02-01,0,0,0,0,0,28
"35","Alabama","0-17","male",2021-03-01,0,0,0,0,0,44
"36","Alabama","0-17","male",2021-04-01,0,0,0,0,0,41
"37","Alabama","0-17","male",2021-05-01,0,0,0,0,0,46
"38","Alabama","0-17","male",2021-06-01,0,0,0,0,0,50
"39","Alabama","0-17","male",2021-07-01,0,0,0,0,0,47
"40","Alabama","18-29","total",2020-07-01,0,0,0,0,0,105
"41","Alabama","18-29","total",2020-08-01,0,0,0,0,0,115
"42","Alabama","18-29","total",2020-09-01,0,0,0,0,0,88
"43","Alabama","18-29","total",2020-10-01,0,0,0,0,0,111
"44","Alabama","18-29","total",2020-11-01,0,0,0,0,0,107
"45","Alabama","18-29","total",2020-12-01,0,0,0,0,0,127
"46","Alabama","18-29","total",2021-01-01,0,0,0,0,0,126
"47","Alabama","18-29","total",2021-02-01,0,0,0,0,0,98
"48","Alabama","18-29","total",2021-03-01,0,0,0,0,0,99
"49","Alabama","18-29","total",2021-04-01,0,0,0,0,0,121
"50","Alabama","18-29","total",2021-05-01,0,0,0,0,0,114
"51","Alabama","18-29","total",2021-06-01,0,0,0,0,0,110
"52","Alabama","18-29","total",2021-07-01,0,0,0,0,0,114
"53","Alabama","18-29","female",2020-07-01,0,0,0,0,0,28
"54","Alabama","18-29","female",2020-08-01,0,0,0,0,0,30
"55","Alabama","18-29","female",2020-09-01,0,0,0,0,0,21
"56","Alabama","18-29","female",2020-10-01,0,0,0,0,0,25
"57","Alabama","18-29","female",2020-11-01,0,0,0,0,0,25
"58","Alabama","18-29","female",2020-12-01,0,0,0,0,0,38
"59","Alabama","18-29","female",2021-01-01,0,0,0,0,0,32
"60","Alabama","18-29","female",2021-02-01,0,0,0,0,0,27
"61","Alabama","18-29","female",2021-03-01,0,0,0,0,0,25
"62","Alabama","18-29","female",2021-04-01,0,0,0,0,0,35
"63","Alabama","18-29","female",2021-05-01,0,0,0,0,0,29
"64","Alabama","18-29","female",2021-06-01,0,0,0,0,0,30
"65","Alabama","18-29","female",2021-07-01,0,0,0,0,0,34
"66","Alabama","18-29","male",2020-07-01,0,0,0,0,0,77
"67","Alabama","18-29","male",2020-08-01,0,0,0,0,0,85
"68","Alabama","18-29","male",2020-09-01,0,0,0,0,0,67
"69","Alabama","18-29","male",2020-10-01,0,0,0,0,0,86
"70","Alabama","18-29","male",2020-11-01,0,0,0,0,0,82
"71","Alabama","18-29","male",2020-12-01,0,0,0,0,0,89
"72","Alabama","18-29","male",2021-01-01,0,0,0,0,0,94
"73","Alabama","18-29","male",2021-02-01,0,0,0,0,0,71
"74","Alabama","18-29","male",2021-03-01,0,0,0,0,0,74
"75","Alabama","18-29","male",2021-04-01,0,0,0,0,0,86
"76","Alabama","18-29","male",2021-05-01,0,0,0,0,0,85
"77","Alabama","18-29","male",2021-06-01,0,0,0,0,0,80
"78","Alabama","18-29","male",2021-07-01,0,0,0,0,0,80
"79","Alabama","30-49","total",2020-07-01,42,13,0,0,50,406
"80","Alabama","30-49","total",2020-08-01,50,38,0,13,70,445
"81","Alabama","30-49","total",2020-09-01,16,16,0,0,35,366
"82","Alabama","30-49","total",2020-10-01,18,14,0,0,27,363
"83","Alabama","30-49","total",2020-11-01,20,14,0,0,43,392
"84","Alabama","30-49","total",2020-12-01,72,25,0,16,82,460
"85","Alabama","30-49","total",2021-01-01,87,45,0,23,101,482
"86","Alabama","30-49","total",2021-02-01,38,20,0,10,51,372
"87","Alabama","30-49","total",2021-03-01,15,12,0,0,23,389
"88","Alabama","30-49","total",2021-04-01,17,18,0,0,27,444
"89","Alabama","30-49","total",2021-05-01,18,12,0,0,25,411
"90","Alabama","30-49","total",2021-06-01,0,10,0,0,25,407
"91","Alabama","30-49","total",2021-07-01,34,22,0,11,50,423
"92","Alabama","30-49","female",2020-07-01,0,0,0,0,10,154
"93","Alabama","30-49","female",2020-08-01,17,11,0,0,21,156
"94","Alabama","30-49","female",2020-09-01,0,0,0,0,0,125
"95","Alabama","30-49","female",2020-10-01,0,0,0,0,10,138
"96","Alabama","30-49","female",2020-11-01,10,0,0,0,13,148
"97","Alabama","30-49","female",2020-12-01,24,0,0,0,27,188
"98","Alabama","30-49","female",2021-01-01,29,14,0,11,32,168
"99","Alabama","30-49","female",2021-02-01,12,0,0,0,15,149
"100","Alabama","30-49","female",2021-03-01,0,0,0,0,13,132
"101","Alabama","30-49","female",2021-04-01,0,0,0,0,12,156
"102","Alabama","30-49","female",2021-05-01,0,0,0,0,13,157
"103","Alabama","30-49","female",2021-06-01,0,0,0,0,0,153
"104","Alabama","30-49","female",2021-07-01,13,15,0,0,21,167
"105","Alabama","30-49","male",2020-07-01,29,11,0,0,35,252
"106","Alabama","30-49","male",2020-08-01,22,12,0,0,41,289
"107","Alabama","30-49","male",2020-09-01,13,0,0,0,16,241
"108","Alabama","30-49","male",2020-10-01,0,11,0,0,17,225
"109","Alabama","30-49","male",2020-11-01,10,0,0,0,15,244
"110","Alabama","30-49","male",2020-12-01,36,16,0,10,42,272
"111","Alabama","30-49","male",2021-01-01,52,19,0,12,60,314
"112","Alabama","30-49","male",2021-02-01,16,12,0,0,23,223
"113","Alabama","30-49","male",2021-03-01,0,0,0,0,10,257
"114","Alabama","30-49","male",2021-04-01,0,11,0,0,15,288
"115","Alabama","30-49","male",2021-05-01,0,0,0,0,12,254
"116","Alabama","30-49","male",2021-06-01,0,0,0,0,0,254
"117","Alabama","30-49","male",2021-07-01,10,0,0,0,13,256
"118","Alabama","50-64","total",2020-07-01,157,102,0,51,209,1115
"119","Alabama","50-64","total",2020-08-01,174,97,0,56,215,1070
"120","Alabama","50-64","total",2020-09-01,85,69,0,21,133,947
"121","Alabama","50-64","total",2020-10-01,95,65,0,31,129,940
"122","Alabama","50-64","total",2020-11-01,129,86,0,45,171,998
"123","Alabama","50-64","total",2020-12-01,265,124,0,82,308,1177
"124","Alabama","50-64","total",2021-01-01,429,199,0,149,481,1448
"125","Alabama","50-64","total",2021-02-01,187,114,0,71,231,1041
"126","Alabama","50-64","total",2021-03-01,78,67,0,37,108,982
"127","Alabama","50-64","total",2021-04-01,48,57,0,20,86,940
"128","Alabama","50-64","total",2021-05-01,55,52,0,21,87,941
"129","Alabama","50-64","total",2021-06-01,32,50,0,10,73,891
"130","Alabama","50-64","total",2021-07-01,74,75,0,26,123,980
"131","Alabama","50-64","female",2020-07-01,67,46,0,20,94,442
"132","Alabama","50-64","female",2020-08-01,76,49,0,27,98,429
"133","Alabama","50-64","female",2020-09-01,48,26,0,11,63,380
"134","Alabama","50-64","female",2020-10-01,35,28,0,15,48,389
"135","Alabama","50-64","female",2020-11-01,44,32,0,18,58,400
"136","Alabama","50-64","female",2020-12-01,107,51,0,33,125,468
"137","Alabama","50-64","female",2021-01-01,193,77,0,64,206,583
"138","Alabama","50-64","female",2021-02-01,90,58,0,41,108,417
"139","Alabama","50-64","female",2021-03-01,31,26,0,16,41,379
"140","Alabama","50-64","female",2021-04-01,17,22,0,0,31,332
"141","Alabama","50-64","female",2021-05-01,23,26,0,13,37,380
"142","Alabama","50-64","female",2021-06-01,12,16,0,0,27,383
"143","Alabama","50-64","female",2021-07-01,29,33,0,0,53,393
"144","Alabama","50-64","male",2020-07-01,90,56,0,31,115,673
"145","Alabama","50-64","male",2020-08-01,98,48,0,29,117,641
"146","Alabama","50-64","male",2020-09-01,37,43,0,10,70,567
"147","Alabama","50-64","male",2020-10-01,60,37,0,16,81,551
"148","Alabama","50-64","male",2020-11-01,85,54,0,27,113,598
"149","Alabama","50-64","male",2020-12-01,158,73,0,49,183,709
"150","Alabama","50-64","male",2021-01-01,236,122,0,85,275,865
"151","Alabama","50-64","male",2021-02-01,97,56,0,30,123,624
"152","Alabama","50-64","male",2021-03-01,47,41,0,21,67,603
"153","Alabama","50-64","male",2021-04-01,31,35,0,12,55,608
"154","Alabama","50-64","male",2021-05-01,32,26,0,0,50,561
"155","Alabama","50-64","male",2021-06-01,20,34,0,0,46,508
"156","Alabama","50-64","male",2021-07-01,45,42,0,17,70,587
"157","Alabama","65-74","total",2020-07-01,211,140,0,73,278,1265
"158","Alabama","65-74","total",2020-08-01,233,143,0,79,298,1230
"159","Alabama","65-74","total",2020-09-01,138,118,0,58,198,1148
"160","Alabama","65-74","total",2020-10-01,150,125,0,53,222,1173
"161","Alabama","65-74","total",2020-11-01,197,106,0,52,251,1270
"162","Alabama","65-74","total",2020-12-01,431,228,0,145,515,1593
"163","Alabama","65-74","total",2021-01-01,628,319,0,249,700,1793
"164","Alabama","65-74","total",2021-02-01,300,161,0,106,355,1278
"165","Alabama","65-74","total",2021-03-01,117,108,0,43,183,1132
"166","Alabama","65-74","total",2021-04-01,52,83,0,18,117,1162
"167","Alabama","65-74","total",2021-05-01,68,83,0,26,125,1143
"168","Alabama","65-74","total",2021-06-01,33,78,0,13,98,1042
"169","Alabama","65-74","total",2021-07-01,66,85,0,26,125,1089
"170","Alabama","65-74","female",2020-07-01,95,60,0,32,123,531
